"audit_id","ticker","time_published","title","manual_label","source","url","manual_reason","split","article_uid"
"MAG7-0018","AAPL","2023-07-12 22:55:37+00:00","First-of-its-Kind App, TheStreet Powered by Tornado, Launches One-Stop Investing Experience","Not Relevant","Business Wire","https://www.businesswire.com/news/home/20230712668577/en/First-of-its-Kind-App-TheStreet-Powered-by-Tornado-Launches-One-Stop-Investing-Experience","No direct company mechanism","held_out_test","a1711da6ae8ec20f69c278e8943c707d"
"MAG7-0058","AAPL","2023-08-04 06:26:00+00:00","Apple sees sales slump continuing, shares drop 2% despite beating sales expectations","Relevant","Reuters","https://www.reuters.com/technology/apple-profit-tops-wall-street-targets-strong-services-counter-weaker-iphone-2023-08-03/","Financial or guidance","development","64ae9a9ee560f7bc923a1946f5c314f7"
"MAG7-0038","AAPL","2023-09-27 09:53:00+00:00","Qualcomm defeats consumers' antitrust claims over chip supply contracts","Not Relevant","Reuters","https://www.reuters.com/legal/transactional/qualcomm-defeats-consumers-antitrust-claims-over-chip-supply-contracts-2023-09-27/","No direct company mechanism","development","91dce5fd08dd2c7ac5a4b87818de7dae"
"MAG7-0057","AAPL","2024-04-25 05:32:00+00:00","Imax Earnings: Dune 2 Boosts North American Market Share In Q1","Not Relevant","Deadline","https://deadline.com/2024/04/imax-beats-street-highest-ever-north-american-market-share-dune-1235894573/","No direct company mechanism","development","03c7879a2e5985067f6452757651cdb7"
"MAG7-0024","AAPL","2024-06-11 12:38:52+00:00","New features come to Apple services this fall","Not Relevant","Apple","https://www.apple.com/newsroom/2024/06/new-features-come-to-apple-services-this-fall/","Product or operations","development","d075654daa5fe0c2299c90bc42859b0d"
"MAG7-0049","AAPL","2024-07-08 14:59:00+00:00","Corning raises second-quarter core sales forecast driven by AI boom","Not Relevant","Reuters","https://www.reuters.com/technology/corning-raises-second-quarter-core-sales-forecast-driven-by-ai-boom-2024-07-08/","No direct company mechanism","development","0168d9a5ccbc7d84d308114c633a77b7"
"MAG7-0051","AAPL","2024-07-16 12:28:35+00:00","Production Begins for New Plug & Play Recessed Light","Not Relevant","Streetwise Reports","https://www.streetwisereports.com/article/2024/07/16/production-begins-for-new-plug-play-recessed-light.html","No direct company mechanism","development","79c927742d05b519f53773c9a11bfe6d"
"MAG7-0059","AAPL","2024-07-17 19:20:00+00:00","Deal for “high-performance” batteries signed for mystery Mixed Reality leader","Not Relevant","PhoneArena","https://www.phonearena.com/news/high-performance-batteries-for-mixed-reality-leader_id160502","Direct commercial or supply link","development","ed99585df9437bbd3397f1a90d887b48"
"MAG7-0033","AAPL","2024-08-15 10:43:40+00:00","Apple Card named best in customer satisfaction among co-branded credit cards with no annual fee by J.D. Power","Not Relevant","Apple","https://www.apple.com/newsroom/2024/08/apple-card-named-best-in-customer-satisfaction-by-jd-power/","No direct company mechanism","development","4af6b9dba6b42928471f5be55cd78909"
"MAG7-0012","AAPL","2024-09-10 22:25:00+00:00","JABIL to invest ₹2,000 crore in electronics manufacturing facility at Manapparai, create 5,000 Jobs","Not Relevant","BusinessLine","https://www.thehindubusinessline.com/info-tech/jabil-to-invest-2000-crore-in-electronics-manufacturing-facility-in-manapparai-creating-5000-jobs/article68624705.ece","Direct commercial or supply link","held_out_test","220bd99575bb220c11d9815de7ae912b"
"MAG7-0034","AAPL","2024-10-31 08:00:00+00:00","PodcastOne Engages MZ Group to Lead Strategic Investor Relations Program","Not Relevant","Stock Titan","https://www.stocktitan.net/news/PODC/podcast-one-engages-mz-group-to-lead-strategic-investor-relations-9rr32ssqprf1.html","No direct company mechanism","development","6ee5866436c105238fb35f0fe6b80014"
"MAG7-0017","AAPL","2024-12-04 07:18:51+00:00","OwlTing Partners With MoneyGram; Nuvei Enables Blockchain Payment in Latin America; Nacha’s Crypto Report","Not Relevant","Digital Transactions","https://www.digitaltransactions.net/owlting-partners-with-moneygram-nuvei-enables-blockchain-payment-in-latin-america-nachas-cyrpto-report/","No direct company mechanism","held_out_test","8e92d3eec66693690ee3dacc597030f6"
"MAG7-0037","AAPL","2024-12-17 21:38:00+00:00","Apple says it has told suppliers to stop buying minerals from Congo","Relevant","Reuters","https://www.reuters.com/markets/commodities/apple-says-it-has-told-suppliers-stop-buying-minerals-congo-2024-12-17/","Direct commercial or supply link","development","a1532433310a78a92fcd8cabd3e4ccf4"
"MAG7-0006","AAPL","2024-12-23 12:52:00+00:00","Apple to see strong Christmas iPhone sales that launch a ‘renaissance of growth’","Relevant","MarketWatch","https://www.marketwatch.com/story/apple-set-for-upgrade-supercycle-as-300-million-iphones-are-over-4-years-old-c9b18315?gaa_at=eafs&gaa_n=AWEtsqfCjQqCMh_s5cmzQe1VyoOtMa2r9xf99S1uEUheRFAk5vuBAyxD3HJQ&gaa_ts=69074b06&gaa_sig=hqhs-zxwqJyaeT-zi0UEkwc4GwpyNtAhcN6YFFOyLqDLxCDKDVSKYRnfq6A4g1Ucls6ayJ-TlLDklYEjaDNQZQ%3D%3D","Financial or guidance","held_out_test","8fdbed23c2752c98246d4dc0f078a873"
"MAG7-0028","AAPL","2025-01-17 05:59:24+00:00","IMAX Secures Netflix Deal for Exclusive 'Narnia' Theatrical Release, Stock Jumps","Not Relevant","Yahoo Finance","https://finance.yahoo.com/news/imax-secures-netflix-deal-exclusive-173331532.html","No direct company mechanism","development","1e47506ab1bda56f44717e466fe47ef2"
"MAG7-0019","AAPL","2025-04-09 21:42:00+00:00","ROSEN, TRUSTED INVESTOR COUNSEL, Encourages Skyworks Solutions, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - SWKS","Not Relevant","www.yourcentralvalley.com","https://www.yourcentralvalley.com/business/press-releases/accesswire/1012974/rosen-trusted-investor-counsel-encourages-skyworks-solutions-inc-investors-to-secure-counsel-before-important-deadline-in-securities-class-action-swks/","No direct company mechanism","development","5ca3522d88596a44790a2c643b3b565a"
"MAG7-0030","AAPL","2025-05-13 13:50:00+00:00","Carrier to invest $1 billion to boost US production","Not Relevant","Reuters","https://www.reuters.com/markets/us/carrier-invest-1-billion-boost-us-production-2025-05-13/","No direct company mechanism","development","665b43bbf2bdf4d802d8b01293aa8ad8"
"MAG7-0011","AAPL","2025-06-05 22:38:05+00:00","GlobalFoundries plans to spend US$16 billion to boost US chip production","Not Relevant","Taipei Times","https://www.taipeitimes.com/News/biz/archives/2025/06/05/2003838100","No direct company mechanism","held_out_test","5815f2dd8052a5b683f3d533755c21f1"
"MAG7-0056","AAPL","2025-06-23 23:16:53+00:00","I tested the Sonos Ace for a year, and you won't want to miss this massive deal","Not Relevant","Android Central","https://www.androidcentral.com/accessories/headphones/these-sonos-headphones-arent-perfect-heres-why-i-still-recommend-them","No direct company mechanism","development","851adb7bf51016fdb39c92a60d1e8ada"
"MAG7-0053","AAPL","2025-07-14 17:40:00+00:00","US stock market future slips as Trump’s 30% tariffs rattle global trade; Dow, S&P 500, Nasdaq dip while Bo","Not Relevant","The Economic Times","https://m.economictimes.com/news/international/us/u-s-stock-futures-fall-as-trumps-30-tariffs-rattle-global-trade-dow-sp-500-nasdaq-dip-while-boeing-jumps-and-apple-tesla-slide-ahead-of-earnings-cpi-data/articleshow/122438518.cms","No direct company mechanism","development","9afe588a4ecdc32b65810a0c0365c26a"
"MAG7-0036","AAPL","2025-08-01 22:38:50+00:00","AccreditedEvents and New to The Street Host Exclusive Investor Cocktail Event Featuring MUSQ ($MUSQ), The Music ETF, on September 3 at Hudson Yards","Not Relevant","Canton Repository","https://www.cantonrep.com/press-release/story/5185/accreditedevents-and-new-to-the-street-host-exclusive-investor-cocktail-event-featuring-musq-musq-the-music-etf-on-september-3-at-hudson-yards/","No direct company mechanism","development","184ba4a0345869e9379d01793ed9d91a"
"MAG7-0048","AAPL","2025-08-29 09:32:00+00:00","The Only 4 ETFs You Really Need: VOO, VYM, JEPI, and SOXX","Not Relevant","24/7 Wall St.","https://247wallst.com/investing/2025/08/29/the-only-4-etfs-you-really-need-voo-vym-jepi-and-soxx/","No direct company mechanism","development","22cbdad5c102f8e9cccc9d8896c6e9b3"
"MAG7-0022","AAPL","2025-09-03 22:15:00+00:00","Neonode Announces Anticipated Financial Proceeds from Patent Lawsuit Settlement","Not Relevant","Cision News","https://news.cision.com/neonode/r/neonode-announces-anticipated-financial-proceeds-from-patent-lawsuit-settlement,c4229257","No direct company mechanism","development","8c359239f3e211dd0bede1a415073dca"
"MAG7-0009","AAPL","2025-09-07 17:27:00+00:00","Telecom company may have revealed iPhone 17 series spec sheet, as well as iPhone 17 and iOS 26 release dates","Not Relevant","PhoneArena","https://www.phonearena.com/news/iphone-17-specs-ios-26-release-date-korean-carrier_id173833","No direct company mechanism","held_out_test","1b9d14e3d55133873d9b3ae9639f31ec"
"MAG7-0041","AAPL","2025-10-13 06:41:33+00:00","APPLE INC : Jefferies reiterates its Sell rating - MarketScreener","Not Relevant","MarketScreener","https://www.marketscreener.com/news/apple-inc-jefferies-reiterates-its-sell-rating-ce7d5ad8da8ef026","No direct company mechanism","development","49a25e0e20f0b3fcf2d8f792abca6da9"
"MAG7-0013","AAPL","2025-10-13 16:18:50+00:00","Best Apple deal: Save $34.01 on Apple AirTag 4-pack - Mashable","Not Relevant","Mashable","https://mashable.com/article/oct-13-apple-airtag-deal","No direct company mechanism","held_out_test","32b7ce94ffad75ba995c414847829fd8"
"MAG7-0023","AAPL","2025-10-13 21:47:22+00:00","The Goldman Sachs (GS) Stock: Surges as $7B Industry Ventures Acquisition and Q3 Earnings Optimism Fuel Growth","Not Relevant","parameter.io","https://parameter.io/the-goldman-sachs-gs-stock-surges-as-7b-industry-ventures-acquisition-and-q3-earnings-optimism-fuel-growth/","No direct company mechanism","development","3a00bbe22b20f87c58894f01769d9022"
"MAG7-0047","AAPL","2025-10-14 05:19:25+00:00","Apple Pivots to AI Smart Glasses Launch by 2027, Ditching Vision Pro Updates - WebProNews","Relevant","WebProNews","https://www.webpronews.com/apple-pivots-to-ai-smart-glasses-launch-by-2027-ditching-vision-pro-updates/","Product or operations","development","6f2c6bba8c537dae877d1f58c2a887a5"
"MAG7-0016","AAPL","2025-10-14 11:15:03+00:00","Apple hit with new copyright lawsuit over material used to train its AI","Relevant","Ripples Nigeria","https://www.ripplesnigeria.com/apple-hit-with-new-copyright-lawsuit-over-material-used-to-train-its-ai/","Regulatory or legal","held_out_test","e836467e0091f804b8f8ca81cf4c3861"
"MAG7-0010","AAPL","2025-10-14 19:41:00+00:00","Apple Teases Powerful M5 MacBook Pro in Greg Joswiak’s Cryptic Post Ahead of October Launch","Not Relevant","Wccftech","https://wccftech.com/apple-m5-macbook-pro-teaser-greg-joswiak/","No direct company mechanism","held_out_test","16579fefe2f9182afdb709a7c2f292e4"
"MAG7-0043","AAPL","2025-10-15 07:40:09+00:00","Apple COO visits China suppliers, launches new clean energy fund - DIGITIMES Asia","Not Relevant","DIGITIMES Asia","https://www.digitimes.com/news/a20251015PD223/apple-supply-chain-manufacturing-renewable-energy-production.html","Direct commercial or supply link","development","93e40ee995e84e34b7ee1b49dd57bfca"
"MAG7-0002","AAPL","2025-10-15 14:13:14+00:00","Apple Vision Pro gets upgraded to the new M5 chip","Not Relevant","Mashable","https://mashable.com/article/apple-vision-pro-m5-announcement","No direct company mechanism","held_out_test","b04527769e3121d2dd49a464a4c53cef"
"MAG7-0040","AAPL","2025-10-15 15:30:00+00:00","Apple launches new Vision Pro with M5 chip and Dual Knit Band, starting at $3,499 - The Indian Express","Not Relevant","The Indian Express","https://indianexpress.com/article/technology/tech-news-technology/apple-launches-new-vision-pro-with-m5-chip-and-dual-knit-band-starting-at-3499-10309061/","No direct company mechanism","development","b4c09e8b9c290555487ff39f89a9a24d"
"MAG7-0042","AAPL","2025-10-15 15:50:13+00:00","Why is US stock market booming today: big bank earnings, tech stock surge, and Fed rate-cut hopes power ma","Not Relevant","beritasriwijaya.co.id","https://beritasriwijaya.co.id/why-is-us-stock-market-booming-today-big-bank-earnings-tech-stock-surge-and-fed-rate-cut-hopes-power-ma/","No direct company mechanism","development","ba6f0868e95624cae7d1ca2820edc448"
"MAG7-0003","AAPL","2025-10-15 16:05:32+00:00","Apple Second-Gen Smart Glasses Could Have Two Modes","Not Relevant","iLounge","https://www.ilounge.com/news/apple/apple-second-gen-smart-glasses-could-have-two-modes","No direct company mechanism","held_out_test","122dc5340088223c5f1e0ce25f0728a4"
"MAG7-0005","AAPL","2025-10-16 10:06:23+00:00","Global PC shipments rise 8.2 pc in Q3 over AI PC demand - Indian News Queensland","Not Relevant","Indian News Queensland","https://indianews.com.au/global-pc-shipments-rise-8-2-pc-in-q3-over-ai-pc-demand/","No direct company mechanism","held_out_test","952dd7dd44a93b15b2f7f89ee4a44c76"
"MAG7-0045","AAPL","2025-10-17 04:08:56+00:00","TSMC shares fall after record Q3 profit, Asia chipmaking stocks mixed - Investing.com Australia","Not Relevant","Investing.com Australia","https://au.investing.com/news/stock-market-news/tsmc-shares-fall-after-record-q3-profit-asia-chipmaking-stocks-mixed-4066505","No direct company mechanism","development","ee922bef5634d675ddbe1ce6635f2f9a"
"MAG7-0035","AAPL","2025-10-17 13:48:00+00:00","Apple strikes five year deal for Formula 1 rights","Relevant","Six Colors","https://sixcolors.com/post/2025/10/apple-strikes-five-year-deal-for-formula-1-rights/","Direct commercial or supply link","development","ee07a0fb8ac05d82caff4ea11bdb2c6e"
"MAG7-0004","AAPL","2025-10-17 14:02:40+00:00","Apple’s new five-year deal with Formula 1: What it means for US fans - fox40.com","Not Relevant","fox40.com","https://fox40.com/sports/ap-sports/ap-apples-new-five-year-deal-with-formula-1-what-it-means-for-us-fans/","No direct company mechanism","held_out_test","0f1ef305999d641edddf9d9017883289"
"MAG7-0020","AAPL","2025-10-17 14:27:00+00:00","Barclays offers customers free £400 before Christmas and £715 in 2026 - Birmingham Live","Not Relevant","Birmingham Live","https://www.birminghammail.co.uk/news/money/barclays-offers-customers-free-400-32699465","No direct company mechanism","development","53ce5939cbd7f4dcfb81ce7d7057ebc1"
"MAG7-0050","AAPL","2025-10-18 07:12:50+00:00","Greenleaf Trust Sells 54,341 Shares of Apple Inc. $AAPL - MarketBeat","Not Relevant","MarketBeat","https://www.marketbeat.com/instant-alerts/filing-greenleaf-trust-sells-54341-shares-of-apple-inc-aapl-2025-10-18/","No direct company mechanism","development","ac34b3dfc1a6317707a675734892d516"
"MAG7-0025","AAPL","2025-11-11 08:45:33+00:00","Bank of New York Mellon Corp Cuts Stake in Synaptics Incorporated $SYNA","Not Relevant","MarketBeat","https://www.marketbeat.com/instant-alerts/filing-bank-of-new-york-mellon-corp-cuts-stake-in-synaptics-incorporated-syna-2025-11-11/","No direct company mechanism","development","68fe56d7f76d41bd41e8371a8de4ba83"
"MAG7-0039","AAPL","2025-11-16 11:40:54+00:00","National Pension Service Sells 18,154 Shares of lululemon athletica inc. $LULU","Not Relevant","MarketBeat","https://www.marketbeat.com/instant-alerts/filing-national-pension-service-sells-18154-shares-of-lululemon-athletica-inc-lulu-2025-11-15/","No direct company mechanism","development","0b2b00d9f8b9c02673192f656a1b0d81"
"MAG7-0014","AAPL","2025-11-18 11:21:26+00:00","Analysts Are Neutral on These Technology Stocks: Palo Alto Networks (PANW), Apple (AAPL)","Not Relevant","The Globe and Mail","https://www.theglobeandmail.com/investing/markets/stocks/PANW-Q/pressreleases/36176425/analysts-are-neutral-on-these-technology-stocks-palo-alto-networks-panw-apple-aapl/","No direct company mechanism","held_out_test","118765c4bf7cf60f99439c4880af0da9"
"MAG7-0054","AAPL","2025-11-23 09:10:56+00:00","Caliber Wealth Management LLC KS Raises Stock Holdings in Apple Inc. $AAPL","Not Relevant","MarketBeat","https://www.marketbeat.com/instant-alerts/filing-caliber-wealth-management-llc-ks-raises-stock-holdings-in-apple-inc-aapl-2025-11-23/","No direct company mechanism","development","ecf7dc5232cd750a887bff1c91389cbb"
"MAG7-0007","AAPL","2025-11-24 18:32:48+00:00","French Group Sues Apple Over App Store Fees Inflating Streaming Prices","Relevant","WebProNews","https://www.webpronews.com/french-group-sues-apple-over-app-store-fees-inflating-streaming-prices/","Regulatory or legal","held_out_test","42c597ef490f87b7c84e2be89e662534"
"MAG7-0001","AAPL","2025-11-25 02:13:00+00:00","Apple layoffs: iPhone maker cut dozens of sales jobs to streamline workforce, eliminate overlapping roles","Relevant","mint","https://www.livemint.com/companies/news/apple-layoffs-rare-move-iphone-maker-cut-dozen-sales-jobs-streamline-workforce-remove-overlap-roles-tech-sales-business-11764015221633.html","Product or operations","held_out_test","1be04130ca8334eb7d5d89b9d3563af4"
"MAG7-0046","AAPL","2025-11-25 13:50:00+00:00","Apple CEO Tim Cook's potential successors feature four top execs including iPhone, Mac guru","Not Relevant","New York Post","https://nypost.com/2025/11/25/business/apple-ceo-tim-cooks-potential-successors-include-four-top-execs-including-iphone-mac-guru/","No direct company mechanism","development","be7326d1629b379a0675c5dc39b6fd24"
"MAG7-0008","AAPL","2025-11-28 10:37:00+00:00","Intel jumps as analyst says prospects of Apple deal have improved 'significantly' (INTC:NASDAQ)","Not Relevant","Seeking Alpha","https://seekingalpha.com/news/4526553-intel-jumps-as-analyst-says-prospects-of-apple-deal-have-improved-significantly","No direct company mechanism","held_out_test","64a15bbafdd868484eaa3ce4f9e5147d"
"MAG7-0031","AAPL","2025-11-28 11:41:00+00:00","Intel stock surges after analyst Kuo reports potential Apple chip partnership","Not Relevant","Investing.com","https://www.investing.com/news/stock-market-news/intel-stock-surges-after-analyst-kuo-reports-potential-apple-chip-partnership-4382162","No direct company mechanism","development","4859a79fa34c991d55727be01e0b3cfd"
"MAG7-0060","AAPL","2025-12-01 13:34:17+00:00","Three New MacBook Models to Launch Next Spring... Targeting Replacement Demand with the ‘M5 Generation’","Not Relevant","매일경제","https://www.mk.co.kr/en/business/11481225","No direct company mechanism","development","aff82ced46ec357632b005705aa41843"
"MAG7-0021","AAPL","2025-12-17 07:09:04+00:00","Roomba maker files for Chapter 11 bankruptcy, seeks acquisition by contract manufacturer","Not Relevant","Manufacturing Dive","https://www.manufacturingdive.com/news/roomba-braava-maker-irobot-chapter-11-bankruptcy-acquisition-picea-china/807997/","No direct company mechanism","development","4ee9ac7b07731161a6462f9f4e571196"
"MAG7-0044","AAPL","2025-12-27 10:09:23+00:00","Galaxy Digital CEO Novogratz Predicts 2026 as Breakthrough Year for Tokenized Assets","Not Relevant","Blockonomi","https://blockonomi.com/galaxy-digital-ceo-novogratz-predicts-2026-as-breakthrough-year-for-tokenized-assets/","No direct company mechanism","development","e69a3aaebb0c0642c5302cd31f89d0fd"
"MAG7-0032","AAPL","2026-04-15 17:39:26+00:00","Spotify Premium: Between Price Hikes and AI Push, Subscriber Growth Holds Key","Not Relevant","AD HOC NEWS","https://www.ad-hoc-news.de/boerse/news/ueberblick/spotify-premium-between-price-hikes-and-ai-push-subscriber-growth-holds/69165637","No direct company mechanism","development","cced9578eb9b279ddb4dbe3cfcd3a6b2"
"MAG7-0055","AAPL","2026-04-19 07:12:59+00:00","C2P Capital Advisory Group LLC d.b.a. Prosperity Capital Advisors Increases Holdings in Apple Inc. $AAPL","Not Relevant","MarketBeat","https://www.marketbeat.com/instant-alerts/filing-c2p-capital-advisory-group-llc-dba-prosperity-capital-advisors-increases-holdings-in-apple-inc-aapl-2026-04-19/","No direct company mechanism","development","3fde4426e9e686d87064d5477a7720d0"
